District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Nice Garden,27/12/2022,
Central & Western,"Block B, Hongway Garden",27/12/2022,
Central & Western,"Tower 1, Kwong Fung Terrace",27/12/2022,
Central & Western,Des Voeux Building,27/12/2022,
Central & Western,New Start Building,27/12/2022,
Central & Western,Alassio,27/12/2022,
Central & Western,Yukon Court,27/12/2022,
Central & Western,"Block 3, The Merton",27/12/2022,
Central & Western,"Tower 2, Harbour View Garden",27/12/2022,
Central & Western,Chester Court,27/12/2022,
Central & Western,Hillier Building,27/12/2022,
Central & Western,Ivy On Belcher's,27/12/2022,
Central & Western,May Sun Building,27/12/2022,
Central & Western,"Block 1, Smithfield Court",27/12/2022,
Central & Western,"Block 2, Smithfield Court",27/12/2022,
Central & Western,"Block A, Jade Court",27/12/2022,
Central & Western,"Tower 1, University Heights",27/12/2022,
Central & Western,Luen Yau Apartments,27/12/2022,
Central & Western,Luen Gay Apartments,27/12/2022,
Central & Western,"Block A, Wah Ming Centre",27/12/2022,
Central & Western,"Block B, Wah Ming Centre",27/12/2022,
Central & Western,Woodland Gardens,27/12/2022,
Central & Western,Valverde,27/12/2022,
Central & Western,"Ivy Tower, Western Garden",27/12/2022,
Central & Western,"Block C, Kwun Lung Lau",27/12/2022,
Central & Western,"Block D, Kwun Lung Lau",27/12/2022,
Central & Western,"Tower 1, Euston Court",27/12/2022,
Central & Western,Kam Kwan Building,27/12/2022,
Central & Western,Kam Yu Mansion,27/12/2022,
Central & Western,Kam Hing Building,27/12/2022,
Central & Western,"Block 3, Connaught Garden",27/12/2022,
Central & Western,Lung Cheung Garden,27/12/2022,
Central & Western,Kensington Hill,26/12/2022,
Central & Western,The Richmond,26/12/2022,
Central & Western,Sum Way Mansion,26/12/2022,
Central & Western,Welland Building,26/12/2022,
Central & Western,Federate Building,26/12/2022,
Central & Western,"Block A, Chong Yip Centre",26/12/2022,
Central & Western,Hillview,26/12/2022,
Central & Western,Namhung Mansion,26/12/2022,
Central & Western,Hau Fook Building,26/12/2022,
Central & Western,Wo Fat Building,26/12/2022,
Central & Western,"Block A, Smithfield Terrace",26/12/2022,
Central & Western,Tin Hing Mansion,26/12/2022,
Central & Western,Wealthy Heights,26/12/2022,
Central & Western,"Block B, Belcher Court",26/12/2022,
Central & Western,Hillview Garden,26/12/2022,
Central & Western,"Block C, Imperial Court",26/12/2022,
Central & Western,Tak Tung House,26/12/2022,
Central & Western,"Block A, Greenery Garden",26/12/2022,
Central & Western,"Block B, Greenery Garden",26/12/2022,
Central & Western,Cheung Ling Mansion,26/12/2022,
Central & Western,The Nova,26/12/2022,
Central & Western,Tung Lee Mansion,26/12/2022,
Central & Western,Tung Hing Court,26/12/2022,
Central & Western,Tung Shing Terrace,26/12/2022,
Central & Western,Rockson Mansion,26/12/2022,
Central & Western,Roc Ye Court,26/12/2022,
Central & Western,"Block 1, Yuk Ming Towers",26/12/2022,
Central & Western,Wing Cheung Building,26/12/2022,
Central & Western,Wing Yu Building,26/12/2022,
Central & Western,The Hudson,26/12/2022,
Central & Western,Sea View Mansion,26/12/2022,
Central & Western,Yuen Fai Court,26/12/2022,
Central & Western,Universal Building,26/12/2022,
Central & Western,"Po Tak Building, 540-546 Queen's Road West",26/12/2022,
Central & Western,Bic Wah Court,26/12/2022,
Central & Western,"Tower 1, Island Crest",26/12/2022,
Central & Western,"Block A, Mei Sun Lau",26/12/2022,
Central & Western,Green View Court,26/12/2022,
Central & Western,Luen Hing Apartments,26/12/2022,
Central & Western,Ying Wa Court,26/12/2022,
Central & Western,"Tower A, Hollywood Terrace",26/12/2022,
Central & Western,Wah Fai Court,26/12/2022,
Central & Western,Two Artlane,26/12/2022,
Central & Western,Sai Wan New Apartments,26/12/2022,
Central & Western,"Block A, Kwun Lung Lau",26/12/2022,
Central & Western,Shing Tai Building,26/12/2022,
Central & Western,Golden Pavilion,26/12/2022,
Central & Western,"Block A, Kam Ling Court",26/12/2022,
Central & Western,Shun Cheong Building,26/12/2022,
Central & Western,Mini Hotel Central,25/12/2022,
Central & Western,Viking Court,25/12/2022,
Central & Western,33 Lyttelton Road,25/12/2022,
Central & Western,Cadogan,25/12/2022,
Central & Western,Centre place,25/12/2022,
Central & Western,Millennium Court,25/12/2022,
Central & Western,Nam Cheong Building,25/12/2022,
Central & Western,Nam Cheong House,25/12/2022,
Central & Western,Nan Hai Mansion,25/12/2022,
Central & Western,Nan Sang Building,25/12/2022,
Central & Western,Wo Yick Mansion,25/12/2022,
Central & Western,"Block 3, The Grand Panorama",25/12/2022,
Central & Western,"Block 4, The Grand Panorama",25/12/2022,
Central & Western,Glory Heights,25/12/2022,
Central & Western,Carbo Mansion,25/12/2022,
Central & Western,"Block C, Smithfield Terrace",25/12/2022,
Central & Western,Four Seasons Place Hong Kong,25/12/2022,
Central & Western,Kwok Ga Building,25/12/2022,
Central & Western,"Phase 1, Kwan Yick Building",25/12/2022,
Central & Western,"Block C, Phase 2, Kwan Yick Building",25/12/2022,
Central & Western,"Block D, Phase 2, Kwan Yick Building",25/12/2022,
Central & Western,Caine Mansion,25/12/2022,
Central & Western,Sun Court,25/12/2022,
Central & Western,Swire Building,25/12/2022,
Central & Western,Hilary Court,25/12/2022,
Central & Western,On Wing Building,25/12/2022,
Central & Western,Andes Plaza,25/12/2022,
Central & Western,Flora Court,25/12/2022,
Central & Western,Richwealth Mansion,25/12/2022,
Central & Western,"Block 1, Scenic Heights",25/12/2022,
Central & Western,Ning Yeung Terrace,25/12/2022,
Central & Western,"Block B, Ning Yeung Terrace",25/12/2022,
Central & Western,Po Shu Mansion,25/12/2022,
Central & Western,Merit Court,25/12/2022,
Central & Western,"Tower 3, The Belcher's",25/12/2022,
Central & Western,"Tower 8, The Belcher's",25/12/2022,
Central & Western,Belcher's Hill,25/12/2022,
Central & Western,Sands House,25/12/2022,
Central & Western,"Tower 3, Queen's Terrace",25/12/2022,
Central & Western,"Tower 5, Dynasty Court",25/12/2022,
Central & Western,Skyline Mansion,25/12/2022,
Central & Western,Cordial Mansion,25/12/2022,
Central & Western,Hong Ming Building,25/12/2022,
Central & Western,Caine Building,25/12/2022,
Central & Western,"Tower 2, Kwong Fung Terrace",25/12/2022,
Central & Western,"Tower 2, Regent On The Park",25/12/2022,
Central & Western,Rich Court,25/12/2022,
Central & Western,Mount Davis 33,25/12/2022,
Central & Western,"Block 2, Elegant Garden",25/12/2022,
Central & Western,Hang Yue Building,25/12/2022,
Central & Western,"Block 2, Estoril Court",25/12/2022,
Central & Western,"Tower 1, Elegant Terrace",25/12/2022,
Central & Western,Cameo Court,25/12/2022,
Central & Western,Wai Wah Court,25/12/2022,
Central & Western,Seymour,25/12/2022,
Central & Western,"Tower 1, Scenecliff",25/12/2022,
Central & Western,"Tower 2, Scenecliff",25/12/2022,
Central & Western,Po Hing Court,25/12/2022,
Central & Western,Princeton Tower,25/12/2022,
Central & Western,Caine Tower,25/12/2022,
Central & Western,Panorama Gardens,25/12/2022,
Central & Western,"Tower 1, Hillsborough Court",25/12/2022,
Central & Western,"The Royal Tower, Hillsborough Court",25/12/2022,
Central & Western,"Hong Ning House, Tung Fai Gardens",25/12/2022,
Central & Western,"Fook Chak House, Tung Fai Gardens",25/12/2022,
Central & Western,No. 2 Park Road,25/12/2022,
Central & Western,Park Height,25/12/2022,
Central & Western,Wing Ga Building,25/12/2022,
Central & Western,General Building,25/12/2022,
Central & Western,Flourish Court,25/12/2022,
Central & Western,Wing Tai Mansion,25/12/2022,
Central & Western,Winsome House,25/12/2022,
Central & Western,"Tower 1, Harbour View Garden",25/12/2022,
Central & Western,Hoi Tao Building,25/12/2022,
Central & Western,Full Harvest Building,25/12/2022,
Central & Western,Bohemian House,25/12/2022,
Central & Western,Kingsford Height,25/12/2022,
Central & Western,All Fit Garden,25/12/2022,
Central & Western,Centenary Mansion,25/12/2022,
Central & Western,Park Mansions,25/12/2022,
Central & Western,Bel Mount Garden,25/12/2022,
Central & Western,248-254 Queen'S Road West,25/12/2022,
Central & Western,"Tai Pak Court, Ying Ga Garden",25/12/2022,
Central & Western,"Po Lung Court, Ying Ga Garden",25/12/2022,
Central & Western,"To Li Court, Ying Ga Garden",25/12/2022,
Central & Western,"Block A, Yick Fung Garden",25/12/2022,
Central & Western,King's Hill,25/12/2022,
Central & Western,Fortune Court,25/12/2022,
Central & Western,Fook Kee Court,25/12/2022,
Central & Western,"Block B, Rhine Court",25/12/2022,
Central & Western,"Block C, Rhine Court",25/12/2022,
Central & Western,Harbour One,25/12/2022,
Central & Western,31 Robinson Road,25/12/2022,
Central & Western,Fairmont Gardens,25/12/2022,
Central & Western,"Tower 1, Novum West",25/12/2022,
Central & Western,"Tower 2, Novum West",25/12/2022,
Central & Western,"Tower 3, Novum West",25/12/2022,
Central & Western,"Vienna Court, Realty Gardens",25/12/2022,
Central & Western,Hing Hon Building,25/12/2022,
Central & Western,"Block 3, Garden Terrace",25/12/2022,
Central & Western,Hollywood Terrace,25/12/2022,
Central & Western,Million City,25/12/2022,
Central & Western,Manifold Court,25/12/2022,
Central & Western,Visalia Garden,25/12/2022,
Central & Western,"Block 2, Peaksville",25/12/2022,
Central & Western,Bella Vista,25/12/2022,
Central & Western,Regal Crest,25/12/2022,
Central & Western,Lan Kwai Fong Hotel,25/12/2022,
Central & Western,Windsor Court,25/12/2022,
Central & Western,"Block 2, Yue Sun Mansion",25/12/2022,
Central & Western,Grand Fortune Mansion,25/12/2022,
Central & Western,Serene Court,25/12/2022,
Central & Western,"Block F, Kwun Lung Lau",25/12/2022,
Central & Western,Fung Shing Building,25/12/2022,
Central & Western,Robinson Crest,25/12/2022,
Central & Western,Yin Tak Building,25/12/2022,
Central & Western,Kam Ling Court,25/12/2022,
Central & Western,Kam Wah Building,25/12/2022,
Central & Western,Kam Fai Mansion,25/12/2022,
Central & Western,The Albany,25/12/2022,
Central & Western,"Tower 1, Robinson Place",25/12/2022,
Central & Western,Shun Hing Building,25/12/2022,
Central & Western,Shun Loong Mansion,25/12/2022,
Central & Western,Hotel Jen Hong Kong,25/12/2022,
Central & Western,"Simon K Y Lee Hall, The University Of Hong Kong",25/12/2022,
Central & Western,"St. John's College, The University of Hong Kong",25/12/2022,
Central & Western,"Shun Hing College, The University Of Hong Kong Jockey Club Student Village 3",25/12/2022,
Central & Western,"Chi Sun College, The University Of Hong Kong Jockey Club Student Village 3",25/12/2022,
Central & Western,"Lap-Chee College, The University Of Hong Kong Jockey Club Student Village 3",25/12/2022,
Central & Western,"Morrison Hall, The University Of Hong Kong Jockey Club",25/12/2022,
Central & Western,Courtyard By Marriott Hong Kong,25/12/2022,
Central & Western,Valiant Park,25/12/2022,
Central & Western,"Block 2, Connaught Garden",25/12/2022,
Central & Western,Goa Building,25/12/2022,
Central & Western,Ko Nga Court,25/12/2022,
Central & Western,Hung Cheong House,25/12/2022,
Central & Western,Beaudry Tower,25/12/2022,
Central & Western,Lechler Court,25/12/2022,
Central & Western,"Block B, Tycoon Court",25/12/2022,
Central & Western,3 Macdonnell Road,25/12/2022,
Central & Western,"Tower 2, Dragonfair Garden",25/12/2022,
Central & Western,Lun Fung Court,25/12/2022,
Central & Western,Imperial Terrace,24/12/2022,
Central & Western,Kelford Mansion,24/12/2022,
Central & Western,Garfield Mansion,24/12/2022,
Central & Western,Skylight Tower,24/12/2022,
Central & Western,"Tower 2, Regence Royale",24/12/2022,
Central & Western,Iclub Amtd Sheung Wan Hotel,24/12/2022,
Central & Western,Casa Bella,24/12/2022,
Central & Western,Tong Nam Mansion,24/12/2022,
Central & Western,Winsing Building,24/12/2022,
Central & Western,68 Wing Lok Street,24/12/2022,
Central & Western,"Block A, Pearl Court",24/12/2022,
Central & Western,Gramercy,24/12/2022,
Central & Western,Artisan House,24/12/2022,
Central & Western,Fook Moon Building,24/12/2022,
Central & Western,Floral Tower,24/12/2022,
Central & Western,Rhenish Mansion,24/12/2022,
Central & Western,Skyview Cliff,24/12/2022,
Central & Western,"Block C, Y Y Mansions",24/12/2022,
Central & Western,Medallion Heights,24/12/2022,
Central & Western,Kam Ho Court,24/12/2022,
Central & Western,Kenyon Court,24/12/2022,
Central & Western,Orlins Court,24/12/2022,
Central & Western,21 High Street,24/12/2022,
Central & Western,Graceful Court,23/12/2022,
Central & Western,Garley Building,23/12/2022,
Central & Western,Emerald Garden,23/12/2022,
Central & Western,Fortune Villa,23/12/2022,
Central & Western,Sands Building,23/12/2022,
Central & Western,Tak Lee Building,23/12/2022,
Central & Western,Tuck Ga Building,23/12/2022,
Central & Western,"Hang Yue Building, 334-350 Des Voeux Road West",23/12/2022,
Central & Western,Ming Hing Building,23/12/2022,
Central & Western,Houston Court,23/12/2022,
Central & Western,Standard Mansion,23/12/2022,
Central & Western,Goodview Court,23/12/2022,
Central & Western,Breezy Mansion,23/12/2022,
Central & Western,Island Shangri-La,23/12/2022,
Central & Western,"Block 2, 80 Robinson Road",23/12/2022,
Central & Western,Tresend Garden,23/12/2022,
Central & Western,"Block B, Jade Court",23/12/2022,
Central & Western,"Block 2, Garden Terrace",23/12/2022,
Central & Western,Shun Fai Building,23/12/2022,
Central & Western,Lai Yin Court,23/12/2022,
Central & Western,West Grand Court,22/12/2022,
Central & Western,Wing Fong Mansion,22/12/2022,
Central & Western,Yu Hing Mansion,22/12/2022,
Eastern,Island Residence,28/12/2022,
Eastern,Chung Nam Mansion,28/12/2022,
Eastern,Chung Hing Mansion,28/12/2022,
Eastern,"Block 2, Tanner Garden",28/12/2022,
Eastern,"Block 5, Tanner Garden",28/12/2022,
Eastern,Continental Mansion,28/12/2022,
Eastern,Asia Mansions,28/12/2022,
Eastern,"Block A, Yen Lok Building",28/12/2022,
Eastern,"Block B, Yen Lok Building",28/12/2022,
Eastern,"Yiu Tsui House, Kai Tsui Court",28/12/2022,
Eastern,"Hin Tsui House, Kai Tsui Court",28/12/2022,
Eastern,"Block C, Healthy Gardens",28/12/2022,
Eastern,"Block D, Healthy Gardens",28/12/2022,
Eastern,"Block E, Healthy Gardens",28/12/2022,
Eastern,"Block F, Healthy Gardens",28/12/2022,
Eastern,"Hong Shing Court, Healthy Village",28/12/2022,
Eastern,"Hong Wang Court, Healthy Village",28/12/2022,
Eastern,"Hong Chi Court, Healthy Village",28/12/2022,
Eastern,"Hong Cheung Court, Healthy Village",28/12/2022,
Eastern,"Hong Tat Court, Healthy Village",28/12/2022,
Eastern,"Chung Shu Lau, Healthy Village",28/12/2022,
Eastern,"Pak Yeung Lau, Healthy Village",28/12/2022,
Eastern,"Lam Cheuk Lau, Healthy Village",28/12/2022,
Eastern,"Wong Kuk Lau, Healthy Village",28/12/2022,
Eastern,"Block A, Kiu Kwan Mansion",28/12/2022,
Eastern,"Block B, Kiu Kwan Mansion",28/12/2022,
Eastern,Kiu Wah Building,28/12/2022,
Eastern,Kiu Fai Mansion,28/12/2022,
Eastern,Siu Wah Mansion,28/12/2022,
Eastern,"Block A, Kwong Chiu Terrace",28/12/2022,
Eastern,Rialto Mansion,28/12/2022,
Eastern,"Block C, North Point Centre",28/12/2022,
Eastern,North Point Terrace,28/12/2022,
Eastern,Harbour Plaza North Point,28/12/2022,
Eastern,"Block 10, Nan Fung Sun Chuen",28/12/2022,
Eastern,"Block 11, Nan Fung Sun Chuen",28/12/2022,
Eastern,"Block 12, Nan Fung Sun Chuen",28/12/2022,
Eastern,"Block 2, Nan Fung Sun Chuen",28/12/2022,
Eastern,"Block 3, Nan Fung Sun Chuen",28/12/2022,
Eastern,"Block 4, Nan Fung Sun Chuen",28/12/2022,
Eastern,"Block 9, Nan Fung Sun Chuen",28/12/2022,
Eastern,Novum Point,28/12/2022,
Eastern,Novum East,28/12/2022,
Eastern,"Block 12A, Provident Centre",28/12/2022,
Eastern,"Block 16, Provident Centre",28/12/2022,
Eastern,"Block 2, Provident Centre",28/12/2022,
Eastern,"Block 3, Provident Centre",28/12/2022,
Eastern,"Block 5, Provident Centre",28/12/2022,
Eastern,"Block 8, Provident Centre",28/12/2022,
Eastern,King's Court,28/12/2022,
Eastern,"Tower 1, Grand Promenade",28/12/2022,
Eastern,"Tower 3, Grand Promenade",28/12/2022,
Eastern,"Tower 5, Grand Promenade",28/12/2022,
Eastern,"Tower 6, Grand Promenade",28/12/2022,
Eastern,"Block A, Carson Mansion",28/12/2022,
Eastern,Casio Mansion,28/12/2022,
Eastern,"Block A, Ka Wai Building",28/12/2022,
Eastern,"Block B, Ka Wai Building",28/12/2022,
Eastern,Kar Man Court,28/12/2022,
Eastern,Gala Garden,28/12/2022,
Eastern,Kava Mansion,28/12/2022,
Eastern,Odeon Building,28/12/2022,
Eastern,"Block 10, City Garden",28/12/2022,
Eastern,"Block 14, City Garden",28/12/2022,
Eastern,"Block 1, City Garden",28/12/2022,
Eastern,"Block 2, City Garden",28/12/2022,
Eastern,"Block 3, City Garden",28/12/2022,
Eastern,"Block 5, City Garden",28/12/2022,
Eastern,"Block 8, City Garden",28/12/2022,
Eastern,Tai Hing Building,28/12/2022,
Eastern,Tempo Court,28/12/2022,
Eastern,Chaton House,28/12/2022,
Eastern,"Yuan Kung Mansion, Taikoo Shing",28/12/2022,
Eastern,"Kwun Tien Mansion, Taikoo Shing",28/12/2022,
Eastern,"Nan Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Kai Tien Mansion, Taikoo Shing",28/12/2022,
Eastern,"Fu Tien Mansion, Taikoo Shing",28/12/2022,
Eastern,"Fu Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Ning On Mansion, Taikoo Shing",28/12/2022,
Eastern,"Po On Mansion, Taikoo Shing",28/12/2022,
Eastern,"Po Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Kin On Mansion, Taikoo Shing",28/12/2022,
Eastern,"Yee Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Heng Tien Mansion, Taikoo Shing",28/12/2022,
Eastern,"Heng Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Ming Kung Mansion, Taikoo Shing",28/12/2022,
Eastern,"King Tien Mansion, Taikoo Shing",28/12/2022,
Eastern,"Chi Sing Mansion, Taikoo Shing",28/12/2022,
Eastern,"Tung Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Tung Hoi Mansion, Taikoo Shing",28/12/2022,
Eastern,"Tai Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Tung Ting Mansion, Taikoo Shing",28/12/2022,
Eastern,"Hoi Tien Mansion, Taikoo Shing",28/12/2022,
Eastern,"Begonia Mansion, Taikoo Shing",28/12/2022,
Eastern,"Han Kung Mansion, Taikoo Shing",28/12/2022,
Eastern,"Wisteria Mansion, Taikoo Shing",28/12/2022,
Eastern,"Oak Mansion, Taikoo Shing",28/12/2022,
Eastern,"Banyan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Wai Sing Mansion, Taikoo Shing",28/12/2022,
Eastern,"Po Yang Mansion, Taikoo Shing",28/12/2022,
Eastern,"Kam Shan Mansion, Taikoo Shing",28/12/2022,
Eastern,"Kam Sing Mansion, Taikoo Shing",28/12/2022,
Eastern,"Maple Mansion, Taikoo Shing",28/12/2022,
Eastern,"Tsui Kung Mansion, Taikoo Shing",28/12/2022,
Eastern,"Lotus Mansion, Taikoo Shing",28/12/2022,
Eastern,"Pine Mansion, Taikoo Shing",28/12/2022,
Eastern,"Shun On Mansion, Taikoo Shing",28/12/2022,
Eastern,"Chai Kung Mansion, Taikoo Shing",28/12/2022,
Eastern,Tai Kut House,28/12/2022,
Eastern,Tai On Building,28/12/2022,
Eastern,Tai Foo House,28/12/2022,
Eastern,Tai Hong House,28/12/2022,
Eastern,Tai Sing House,28/12/2022,
Eastern,Tai Cheong House,28/12/2022,
Eastern,Tai Hing House,28/12/2022,
Eastern,Tai Shun House,28/12/2022,
Eastern,Victor Court,28/12/2022,
Eastern,On Lok Building,28/12/2022,
Eastern,"Tak Luk House, Walton Estate",28/12/2022,
Eastern,Yee On Mansion,28/12/2022,
Eastern,"Block 1, Cheerful Garden",28/12/2022,
Eastern,"Block 2, Cheerful Garden",28/12/2022,
Eastern,"Block 3, Cheerful Garden",28/12/2022,
Eastern,"Block 4, Cheerful Garden",28/12/2022,
Eastern,"Block 5, Cheerful Garden",28/12/2022,
Eastern,"Block 10, Fullview Garden",28/12/2022,
Eastern,"Block 11, Fullview Garden",28/12/2022,
Eastern,"Block 1, Fullview Garden",28/12/2022,
Eastern,"Block 2, Fullview Garden",28/12/2022,
Eastern,"Block 3, Fullview Garden",28/12/2022,
Eastern,"Block 4, Fullview Garden",28/12/2022,
Eastern,"Block 5, Fullview Garden",28/12/2022,
Eastern,"Block 6, Fullview Garden",28/12/2022,
Eastern,"Block 7, Fullview Garden",28/12/2022,
Eastern,"Block 8, Fullview Garden",28/12/2022,
Eastern,"Block 1, Harmony Garden",28/12/2022,
Eastern,"Block 2, Harmony Garden",28/12/2022,
